country,year,company,marketperspective,moralperspective,innovationperspective
us,2006,metlifeinc.,0,0,1
us,2006,prudentialfinancial,0,0,0
us,2006,chartercommunications,0,0,0
us,2006,southwestairlines,0,0,0
us,2006,pnc,0,0,0
us,2006,ups,0,1,0
us,2006,genuineparts,0,0,0
us,2006,starbucks,1,1,0
us,2006,nexteraenergy,0,0,0
us,2006,nucor,0,0,0
us,2006,fluor,1,0,1
us,2006,halliburton,0,0,0
us,2006,eogresources,0,0,0
us,2006,paccar,0,0,0
us,2006,mckesson,0,0,0
us,2006,walmart,1,4,0
us,2006,chevron,0,0,0
us,2006,raytheon,0,0,0
us,2006,wellsfargo,0,0,0
us,2006,lowe's,0,0,0
us,2006,capitalonefinancial,0,0,0
us,2006,southerncompany,0,0,0
us,2006,lear,0,0,1
us,2006,altriagroup,0,0,0
us,2006,cvshealth,0,0,0
us,2006,carmax,0,0,0
us,2006,americanexpress,0,0,0
us,2006,marriottinternational,0,2,0
us,2006,generaldynamics,0,0,0
us,2006,freeport-mcmoran,0,0,1
us,2006,proxy&gamble,0,0,0
us,2006,verizon,0,1,0
us,2006,goldmansachsgroup,0,0,0
us,2006,lockheedmartin,0,0,0
us,2006,usbancorp,0,0,0
us,2006,libertymutualinsurance,0,0,0
us,2006,amazon.cominc.,0,0,0
us,2006,fordmotor,0,0,0
us,2006,berkshirehathaway,0,0,0
us,2006,jpmorganchase,0,3,0
us,2006,honeywellinternational,0,0,0
us,2006,aflac,0,0,0
us,2006,appliedmaterials,0,0,0
us,2006,dollartree,0,0,0
us,2006,molinahealthcare,1,1,0
us,2006,bankofamericacorp.,0,1,0
us,2012,allstate,0,0,0
us,2012,johnson&johnson,0,0,0
us,2012,chevron,0,0,0
us,2012,raytheon,0,0,0
us,2012,nexteraenergy,0,0,0
us,2012,starbucks,0,0,0
us,2012,costco,0,0,0
us,2012,nucor,0,0,1
us,2012,generaldynamics,0,1,0
us,2012,genuineparts,0,0,0
